date,tsm_usd,twse_twd,usdtwd,twse_usd_per_adr,premium,premium_ma60
1999-01-25,5.9137,,,,,
1999-01-26,6.376,,,,,
1999-01-27,6.2219,,,,,
1999-01-28,6.2412,,,,,
1999-01-29,6.1641,,,,,
1999-02-01,5.933,,,,,
1999-02-02,5.8367,,,,,
1999-02-03,6.4146,,,,,
1999-02-04,6.0486,,,,,
1999-02-05,5.9137,,,,,
1999-02-08,6.0486,,,,,
1999-02-09,5.6633,,,,,
1999-02-10,5.644,,,,,
1999-02-11,6.2027,,,,,
1999-02-12,5.8559,,,,,
1999-02-16,5.8367,,,,,
1999-02-17,5.8367,,,,,
1999-02-18,5.7596,,,,,
1999-02-19,5.8945,,,,,
1999-02-22,6.2027,,,,,
1999-02-23,6.2027,,,,,
1999-02-24,6.4531,,,,,
1999-02-25,6.299,,,,,
1999-02-26,6.01,,,,,
1999-03-01,5.9715,,,,,
1999-03-02,5.7789,,,,,
1999-03-03,5.7404,,,,,
1999-03-04,5.8945,,,,,
1999-03-05,6.0871,,,,,
1999-03-08,6.2027,,,,,
1999-03-09,6.0678,,,,,
1999-03-10,6.5494,,,,,
1999-03-11,6.7228,,,,,
1999-03-12,6.7806,,,,,
1999-03-15,7.1851,,,,,
1999-03-16,7.3585,,,,,
1999-03-17,7.9749,,,,,
1999-03-18,7.9171,,,,,
1999-03-19,8.0519,,,,,
1999-03-22,7.7052,,,,,
1999-03-23,7.2043,,,,,
1999-03-24,7.2621,,,,,
1999-03-25,7.397,,,,,
1999-03-26,7.2043,,,,,
1999-03-29,7.2043,,,,,
1999-03-30,7.031,,,,,
1999-03-31,7.2814,,,,,
1999-04-01,7.7244,,,,,
1999-04-05,7.8978,,,,,
1999-04-06,7.9556,,,,,
1999-04-07,7.8593,,,,,
1999-04-08,7.9749,,,,,
1999-04-09,8.3216,,,,,
1999-04-12,8.2253,,,,,
1999-04-13,7.9363,,,,,
1999-04-14,7.8208,,,,,
1999-04-15,7.8208,,,,,
1999-04-16,7.8786,,,,,
1999-04-19,7.4355,,,,,
